"","NCD","GBD_cause_name","order","prop","type","RR","balance"
"1","EI: Drug use disorders","Neuropsychiatric conditions",5,0.000533268238486682,"RR1vs2",3.54339796062539,"RR1vs2"
"2","EC: Schizophrenia","Neuropsychiatric conditions",5,0.000991964474639531,"RR1vs2",2.7872402574012,"RR1vs2"
"3","ED: Epilepsi","Neuropsychiatric conditions",5,0.000288164467909514,"RR1vs2",2.20369084386013,"RR1vs2"
"4","GA: Rheumatic heart disease","Cardiovascular diseases",7,0.000225284442997047,"RR1vs2",2.14712933003436,"RR1vs2"
"5","EL: Anxiety disorders","Neuropsychiatric conditions",5,0.00647578705544107,"RR1vs2",1.74577431494752,"RR1vs2"
"6","HA: Chronic obstructive pulmonary disease","Respiratory diseases",8,0.0171142032430694,"RR1vs2",1.72578761441725,"RR1vs2"
"7","CA: Diabetes mellitus","Diabetes mellitus",3,0.0219549670656958,"RR1vs2",1.62482983278659,"RR1vs2"
"8","EA: Unipolar depressive disorders","Neuropsychiatric conditions",5,0.0147521386337725,"RR1vs2",1.60019000824731,"RR1vs2"
"9","IA: Peptic ulcer disease","Digestive diseases",9,0.00599741407679861,"RR1vs2",1.58190578029401,"RR1vs2"
"10","IB: Cirrhosis of the liver","Digestive diseases",9,0.00312874464093937,"RR1vs2",1.5656682847044,"RR1vs2"
"11","MB: Periodontal disease","Oral conditions",13,0.00209129552242892,"RR1vs2",1.53530955265823,"RR1vs2"
"12","EB: Bipolar affective disorders","Neuropsychiatric conditions",5,0.00165341670948972,"RR1vs2",1.50410003244858,"RR1vs2"
"13","GA: Rheumatic heart disease","Cardiovascular diseases",7,0.000225284442997047,"RR3vs2",1.40171206910509,"RR1vs2"
"14","AG: Trachea, bronchus, and lung cancers","Malignant neoplasms",1,0.00627274588656272,"RR1vs2",1.36992318572628,"RR1vs2"
"15","MC: Other oral diseases","Oral conditions",13,0.00838243488566672,"RR1vs2",1.32983694886205,"RR1vs2"
"16","GC: Ischemic heart disease","Cardiovascular diseases",7,0.0338070675436981,"RR1vs2",1.31156675255577,"RR1vs2"
"17","HC: Other respiratory diseases","Respiratory diseases",8,0.0338814256683961,"RR1vs2",1.27705184011989,"RR1vs2"
"18","A1: Mouth and oropharynx cancers","Malignant neoplasms",1,0.00209500273478204,"RR1vs2",1.25348507235349,"RR1vs2"
"19","EO: Other neuropsychiatric disorders","Neuropsychiatric conditions",5,0.0683477353780415,"RR1vs2",1.24968021111139,"RR1vs2"
"20","GD: Cerebrovascular disease","Cardiovascular diseases",7,0.0327438105238063,"RR1vs2",1.24779067111755,"RR1vs2"
"21","AB: Esophageal cancer","Malignant neoplasms",1,0.000884027561127654,"RR1vs2",1.2457984247167,"RR1vs2"
"22","AE: Liver cancer","Malignant neoplasms",1,0.000748714310238922,"RR1vs2",1.24449749736005,"RR1vs2"
"23","AC: Stomach cancer","Malignant neoplasms",1,0.00099324774045407,"RR1vs2",1.21434084380508,"RR1vs2"
"24","DA: Endocrine disorders","Endocrine disorders",4,0.111380557325195,"RR1vs2",1.21159407025329,"RR1vs2"
"25","GB: Hypertensive heart disease","Cardiovascular diseases",7,0.0472872045850803,"RR1vs2",1.20814217805468,"RR1vs2"
"26","AJ: Cervix uteri cancer","Malignant neoplasms",1,0.000671575776276009,"RR1vs2",1.20265595298134,"RR1vs2"
"27","EM: Insomnia (primary)","Neuropsychiatric conditions",5,0.000484361552443652,"RR3vs2",1.20242151236456,"RR3vs2"
"28","LC: Gout","Musculoskeletal diseases",12,0.00381272532008927,"RR1vs2",1.16373350756788,"RR1vs2"
"29","ID: Other digestive diseases","Digestive diseases",9,0.161655561189251,"RR1vs2",1.16234507433949,"RR1vs2"
"30","LA: Rheumatoid arthritis","Musculoskeletal diseases",12,0.00417588954560413,"RR1vs2",1.15186978741821,"RR1vs2"
"31","AK: Corpus uteri cancer","Malignant neoplasms",1,0.00161256608106019,"RR1vs2",1.147887166317,"RR1vs2"
"32","LD: Low back pain","Musculoskeletal diseases",12,0.0429638820558946,"RR1vs2",1.14680362461655,"RR1vs2"
