"","DIAG","KAP","type","RR","N","prop"
"1","K56",11,"RR1vs2",1.24925693074847,30065,0.0021434103730083
"2","K56",11,"RR3vs2",0.819918294760232,30065,0.0021434103730083
"3","K74",11,"RR1vs2",1.46130306644734,8848,0.000630796440391733
"4","K74",11,"RR3vs2",0.707539485040148,8848,0.000630796440391733
"5","K87",11,"RR1vs2",0.826204411300488,265,1.8892524491841e-05
"6","K87",11,"RR3vs2",0.611748915202205,265,1.8892524491841e-05
"7","K90",11,"RR1vs2",1.10275598205566,5422,0.000386548180357592
"8","K90",11,"RR3vs2",0.97453560679866,5422,0.000386548180357592
"9","L08",12,"RR1vs2",1.22374435214978,32270,0.00230061043528947
"10","L08",12,"RR3vs2",1.01839074368494,32270,0.00230061043528947
"11","M10",13,"RR1vs2",1.16373350756788,26740,0.00190636266004463
"12","M10",13,"RR3vs2",0.690025417733953,26740,0.00190636266004463
"13","M35",13,"RR1vs2",0.949474931689562,26326,0.00187684754631021
"14","M35",13,"RR3vs2",0.940251738741107,26326,0.00187684754631021
"15","M63",13,"RR1vs2",0.977873900564825,111,7.91347252299755e-06
"16","M63",13,"RR3vs2",0.533284558168551,111,7.91347252299755e-06
"17","M66",13,"RR1vs2",0.980771468723164,6969,0.000496837747862792
"18","M66",13,"RR3vs2",1.01752034643612,6969,0.000496837747862792
"19","M68",13,"RR1vs2",0.959618163460724,282,2.01044977611289e-05
"20","M68",13,"RR3vs2",0.96651726853047,282,2.01044977611289e-05
"21","M70",13,"RR1vs2",0.959180090160925,49774,0.0035485151473845
"22","M70",13,"RR3vs2",0.826280051702019,49774,0.0035485151473845
"23","M84",13,"RR1vs2",1.15732634493967,5779,0.000411999619012638
"24","M84",13,"RR3vs2",0.796478931164426,5779,0.000411999619012638
"25","M87",13,"RR1vs2",1.13160337890238,3697,0.000263568539797495
"26","M87",13,"RR3vs2",0.894813108872987,3697,0.000263568539797495
"27","M90",13,"RR1vs2",1.04666933515258,1110,7.91347252299755e-05
"28","M90",13,"RR3vs2",0.874008777882352,1110,7.91347252299755e-05
"29","N01",14,"RR1vs2",0.75499439417955,136,9.6957861543033e-06
"30","N01",14,"RR3vs2",0.169179300655235,136,9.6957861543033e-06
"31","N02",14,"RR1vs2",1.00537575890958,827,5.89589349235944e-05
"32","N02",14,"RR3vs2",0.874497483354897,827,5.89589349235944e-05
"33","N08",14,"RR1vs2",0.993343534376198,2664,0.000189923340551941
"34","N08",14,"RR3vs2",0.546676741987936,2664,0.000189923340551941
"35","N15",14,"RR1vs2",1.33896698329878,981,6.99379868924378e-05
"36","N15",14,"RR3vs2",0.659661362722158,981,6.99379868924378e-05
"37","N19",14,"RR1vs2",1.36783186241252,14833,0.00105748232372633
"38","N19",14,"RR3vs2",0.742220428461767,14833,0.00105748232372633
"39","N36",14,"RR1vs2",0.910640791978399,2686,0.00019149177654749
"40","N36",14,"RR3vs2",1.10660055149231,2686,0.00019149177654749
"41","N37",14,"RR1vs2",1.05384541719571,163,1.16206848761135e-05
"42","N37",14,"RR3vs2",0.936492986188091,163,1.16206848761135e-05
"43","N39",14,"RR1vs2",1.19009361675481,126345,0.00900745662989302
"44","N39",14,"RR3vs2",0.887689500738206,126345,0.00900745662989302
"45","R26",18,"RR1vs2",1.49553351126871,4459,0.000317893459279694
"46","R26",18,"RR3vs2",0.775568187422579,4459,0.000317893459279694
"47","R36",18,"RR1vs2",1.68326755371816,114,8.12735015875424e-06
"48","R36",18,"RR3vs2",1.27528338666233,114,8.12735015875424e-06
"49","R39",18,"RR1vs2",1.05980471883964,102015,0.00727290900390626
"50","R39",18,"RR3vs2",1.00585065039597,102015,0.00727290900390626
"51","R68",18,"RR1vs2",0.923737024862123,3262,0.000232556282612775
"52","R68",18,"RR3vs2",1.01923001724152,3262,0.000232556282612775
"53","R77",18,"RR1vs2",1.64616797302997,1452,0.000103516775706238
"54","R77",18,"RR3vs2",0.83811065223999,1452,0.000103516775706238
"55","R78",18,"RR1vs2",1.42871716863919,2197,0.00015662972191915
"56","R78",18,"RR3vs2",0.953212495241093,2197,0.00015662972191915
"57","R83",18,"RR1vs2",0.73780987249883,123,8.76898306602431e-06
"58","R83",18,"RR3vs2",0.787686486990611,123,8.76898306602431e-06
"59","R84",18,"RR1vs2",0.915051659061475,157,1.11929296046001e-05
"60","R84",18,"RR3vs2",0.605997645959666,157,1.11929296046001e-05
"61","R90",18,"RR1vs2",0.996474155414965,1864,0.000132889304350157
"62","R90",18,"RR3vs2",0.817710051979809,1864,0.000132889304350157
"63","S22",19,"RR1vs2",1.21780556336542,30800,0.00219581039376869
"64","S22",19,"RR3vs2",0.834168410265112,30800,0.00219581039376869
"65","A41",1,"RR1vs2",1.37940894249528,86983,0.00620123946367474
"66","A41",1,"RR3vs2",0.797081544372216,86983,0.00620123946367474
"67","D34",2,"RR1vs2",0.855985859927405,2885,0.000205678993052684
"68","D34",2,"RR3vs2",0.997884685349152,2885,0.000205678993052684
"69","D40",2,"RR1vs2",1.68983437457378,231,1.64685779532652e-05
"70","D40",2,"RR3vs2",0.765237164728307,231,1.64685779532652e-05
"71","D41",2,"RR1vs2",1.16200518747844,1298,9.25377237373948e-05
"72","D41",2,"RR3vs2",0.790714023163033,1298,9.25377237373948e-05
"73","D45",2,"RR1vs2",1.02170665950951,2237,0.000159481423729239
"74","D45",2,"RR3vs2",0.889932443372405,2237,0.000159481423729239
"75","D55",3,"RR1vs2",2.35407804991249,208,1.48288494124639e-05
"76","D55",3,"RR3vs2",1.65343856439163,208,1.48288494124639e-05
"77","D61",3,"RR1vs2",1.43131487359623,2288,0.000163117343537103
"78","D61",3,"RR3vs2",0.774356779932833,2288,0.000163117343537103
"79","D70",3,"RR1vs2",1.22453190147426,1072,7.64256085103907e-05
"80","D70",3,"RR3vs2",0.814955126572894,1072,7.64256085103907e-05
"81","D75",3,"RR1vs2",1.23428311174982,6317,0.000450355008358338
"82","D75",3,"RR3vs2",0.867550214335773,6317,0.000450355008358338
"83","E12",4,"RR1vs2",3.14653817269382,438,3.12261348204768e-05
"84","E12",4,"RR3vs2",0.268861288283604,438,3.12261348204768e-05
"85","E13",4,"RR1vs2",1.47527906567318,6803,0.000485003185350922
"86","E13",4,"RR3vs2",0.672605187463996,6803,0.000485003185350922
"87","E23",4,"RR1vs2",1.13531435190696,5522,0.000393677434882815
"88","E23",4,"RR3vs2",0.975432648775702,5522,0.000393677434882815
"89","E43",4,"RR1vs2",1.85021591781598,115,8.19864270400647e-06
"90","E43",4,"RR3vs2",0.335558147541686,115,8.19864270400647e-06
"91","E44",4,"RR1vs2",1.06275579924473,167,1.19058550571224e-05
"92","E44",4,"RR3vs2",0.325411079067419,167,1.19058550571224e-05
"93","E46",4,"RR1vs2",1.32998034819085,2160,0.000153991897744817
"94","E46",4,"RR3vs2",0.816742554467205,2160,0.000153991897744817
"95","E51",4,"RR1vs2",1.49464608151506,1467,0.000104586163885022
"96","E51",4,"RR3vs2",0.698491763977903,1467,0.000104586163885022
"97","E56",4,"RR1vs2",2.33095565687786,822,5.86024721973332e-05
"98","E56",4,"RR3vs2",0.784104650035171,822,5.86024721973332e-05
"99","E64",4,"RR1vs2",1.52041048822817,7133,0.000508529725284158
"100","E64",4,"RR3vs2",0.67986764054302,7133,0.000508529725284158
"101","E70",4,"RR1vs2",1.31014670147067,763,5.43962120274516e-05
"102","E70",4,"RR3vs2",0.723763429110137,763,5.43962120274516e-05
"103","E71",4,"RR1vs2",1.78149212388537,115,8.19864270400647e-06
"104","E71",4,"RR3vs2",1.62387423926716,115,8.19864270400647e-06
"105","E72",4,"RR1vs2",1.51941980748561,493,3.51472248093495e-05
"106","E72",4,"RR3vs2",0.707348931602958,493,3.51472248093495e-05
"107","E85",4,"RR1vs2",1.01705936165494,1323,9.43200373687005e-05
"108","E85",4,"RR3vs2",0.773080001348811,1323,9.43200373687005e-05
"109","E87",4,"RR1vs2",1.3917593084255,77244,0.00550692136546327
"110","E87",4,"RR3vs2",0.732136625486838,77244,0.00550692136546327
"111","G36",6,"RR1vs2",1.03054352137549,225,1.60408226817518e-05
"112","G36",6,"RR3vs2",0.767215560469404,225,1.60408226817518e-05
"113","G41",6,"RR1vs2",2.20369084386013,2021,0.000144082233954757
"114","G41",6,"RR3vs2",0.656224599618626,2021,0.000144082233954757
"115","G46",6,"RR1vs2",1.81055608984537,758,5.40397493011905e-05
"116","G46",6,"RR3vs2",0.90593485361284,758,5.40397493011905e-05
"117","G50",6,"RR1vs2",1.0482101791603,6625,0.000472313112296025
"118","G50",6,"RR3vs2",0.890628011018824,6625,0.000472313112296025
"119","G57",6,"RR1vs2",0.97823476356307,13199,0.000940990304784186
"120","G57",6,"RR3vs2",0.836510903706993,13199,0.000940990304784186
"121","G73",6,"RR1vs2",0.986858806355598,434,3.09409646394679e-05
"122","G73",6,"RR3vs2",0.894051440645101,434,3.09409646394679e-05
"123","G82",6,"RR1vs2",1.64497653279831,3765,0.000268416432874647
"124","G82",6,"RR3vs2",0.844172520931123,3765,0.000268416432874647
"125","G94",6,"RR1vs2",1.25701680055269,1223,8.71907828434775e-05
"126","G94",6,"RR3vs2",0.877974246081986,1223,8.71907828434775e-05
"127","G96",6,"RR1vs2",1.36193819266253,32659,0.00232834323539259
"128","G96",6,"RR3vs2",0.929171942689412,32659,0.00232834323539259
"129","H28",7,"RR1vs2",1.68006416156096,279,1.98906201253722e-05
"130","H28",7,"RR3vs2",0.76389866209219,279,1.98906201253722e-05
"131","H30",7,"RR1vs2",0.984518704123673,1789,0.00012754236345624
"132","H30",7,"RR3vs2",1.07643835630245,1789,0.00012754236345624
"133","H35",7,"RR1vs2",0.99099240680162,65905,0.00469853519484823
"134","H35",7,"RR3vs2",1.00280157605376,65905,0.00469853519484823
"135","I46",9,"RR1vs2",1.75045021152737,22143,0.00157863082952013
"136","I46",9,"RR3vs2",0.654377099803188,22143,0.00157863082952013
"137","I52",9,"RR1vs2",1.56769137505003,286,2.03896679421378e-05
"138","I52",9,"RR3vs2",0.403451750333347,286,2.03896679421378e-05
"139","I60",9,"RR1vs2",1.22412835610035,6630,0.000472669575022286
"140","I60",9,"RR3vs2",0.761948608556009,6630,0.000472669575022286
"141","I64",9,"RR1vs2",1.38956195221799,35631,0.00254022467988221
"142","I64",9,"RR3vs2",0.739519958610522,35631,0.00254022467988221
"143","J32",10,"RR1vs2",0.902448107269638,15970,0.00113854194767812
"144","J32",10,"RR3vs2",1.12186015652113,15970,0.00113854194767812
"145","J47",10,"RR1vs2",0.998267956100651,9682,0.000690254423132093
"146","J47",10,"RR3vs2",1.08335551176821,9682,0.000690254423132093
"147","J69",10,"RR1vs2",1.82907854721924,10897,0.000776874865613552
"148","J69",10,"RR3vs2",0.76950853754143,10897,0.000776874865613552
"149","J91",10,"RR1vs2",1.31651787760481,5747,0.000409718257564567
"150","J91",10,"RR3vs2",0.803687501266669,5747,0.000409718257564567
"151","J95",10,"RR1vs2",1.34340994565648,5188,0.00036986572476857
"152","J95",10,"RR3vs2",0.684936921937083,5188,0.00036986572476857
"153","J98",10,"RR1vs2",1.34143511999611,11707,0.000834621827267859
"154","J98",10,"RR3vs2",0.71370156092516,11707,0.000834621827267859
"155","K40",11,"RR1vs2",0.911850007842735,70944,0.00505777833037422
"156","K40",11,"RR3vs2",0.98897564320545,70944,0.00505777833037422
"157","M19",13,"RR1vs2",1.075902528966,85009,0.00606050797934684
"158","M19",13,"RR3vs2",0.758607972277081,85009,0.00606050797934684
"159","M72",13,"RR1vs2",0.866341655898984,37377,0.00266470146389261
"160","M72",13,"RR3vs2",0.945629154847796,37377,0.00266470146389261
"161","M82",13,"RR1vs2",1.05167162658355,626,4.46291333278961e-05
"162","M82",13,"RR3vs2",1.00808676205161,626,4.46291333278961e-05
"163","M83",13,"RR1vs2",1.31798721419198,1108,7.8992140139471e-05
"164","M83",13,"RR3vs2",0.759921117219329,1108,7.8992140139471e-05
"165","M85",13,"RR1vs2",1.0066841260112,57845,0.00412391728011525
"166","M85",13,"RR3vs2",0.986398878585163,57845,0.00412391728011525
"167","N32",14,"RR1vs2",1.27979332392214,5183,0.000369509262042309
"168","N32",14,"RR3vs2",0.894999844766581,5183,0.000369509262042309
"169","N42",14,"RR1vs2",0.907019552846464,1118,7.97050655919933e-05
"170","N42",14,"RR3vs2",1.04947575943201,1118,7.97050655919933e-05
"171","N43",14,"RR1vs2",0.933026155537689,15873,0.00113162657078865
"172","N43",14,"RR3vs2",0.913772882003896,15873,0.00113162657078865
"173","N85",14,"RR1vs2",1.1049909689617,3745,0.000266990581969602
"174","N85",14,"RR3vs2",1.09905628127578,3745,0.000266990581969602
"175","N90",14,"RR1vs2",1.12194089390526,5510,0.000392821924339788
"176","N90",14,"RR3vs2",0.909521421277392,5510,0.000392821924339788
"177","R03",18,"RR1vs2",1.05095575860943,3355,0.000239186489321232
"178","R03",18,"RR3vs2",1.02476470043775,3355,0.000239186489321232
"179","R05",18,"RR1vs2",1.05599899804045,50353,0.00358979353108555
"180","R05",18,"RR3vs2",0.98782604906416,50353,0.00358979353108555
"181","R32",18,"RR1vs2",1.3310431884771,27658,0.00197180921658618
"182","R32",18,"RR3vs2",0.854979966447243,27658,0.00197180921658618
"183","R58",18,"RR1vs2",1.05005885615495,5129,0.000365659464598689
"184","R58",18,"RR3vs2",0.908919174173111,5129,0.000365659464598689
"185","R64",18,"RR1vs2",1.33375010145923,13527,0.000964374259626918
"186","R64",18,"RR3vs2",0.771724101413264,13527,0.000964374259626918
"187","R69",18,"RR1vs2",1.03348411344137,1178,8.39826183071271e-05
"188","R69",18,"RR3vs2",1.5473793906326,1178,8.39826183071271e-05
"189","R70",18,"RR1vs2",1.69067981961521,3182,0.000226852878992596
"190","R70",18,"RR3vs2",0.737830728468147,3182,0.000226852878992596
"191","R80",18,"RR1vs2",1.0466311606909,4269,0.000304347875681771
"192","R80",18,"RR3vs2",0.868223433574671,4269,0.000304347875681771
"193","S04",19,"RR1vs2",1.17123296269144,2678,0.000190921436185472
"194","S04",19,"RR3vs2",0.955975324346745,2678,0.000190921436185472
"195","S32",19,"RR1vs2",1.15140815806741,33499,0.00238822897340446
"196","S32",19,"RR3vs2",0.897429617529278,33499,0.00238822897340446
"197","A26",1,"RR1vs2",1.49063478324989,3797,0.000270697794322718
"198","A26",1,"RR3vs2",0.762087594872754,3797,0.000270697794322718
"199","B25",1,"RR1vs2",0.851841035506322,1291,9.20386759206291e-05
"200","B25",1,"RR3vs2",0.987324099161167,1291,9.20386759206291e-05
"201","B44",1,"RR1vs2",1.37198458732872,1185,8.44816661238928e-05
"202","B44",1,"RR3vs2",0.718785580070342,1185,8.44816661238928e-05
"203","B90",1,"RR1vs2",4.51680416810067,208,1.48288494124639e-05
"204","B90",1,"RR3vs2",1.54347103133169,208,1.48288494124639e-05
"205","C01",2,"RR1vs2",1.36553174063992,630,4.4914303508905e-05
"206","C01",2,"RR3vs2",0.856447059471824,630,4.4914303508905e-05
"207","C03",2,"RR1vs2",1.44804536250562,346,2.46672206572716e-05
"208","C03",2,"RR3vs2",0.674677137804731,346,2.46672206572716e-05
"209","C05",2,"RR1vs2",1.771143507119,239,1.7038918315283e-05
"210","C05",2,"RR3vs2",0.744908664586398,239,1.7038918315283e-05
"211","C10",2,"RR1vs2",1.20558627612408,2936,0.000209314912860548
"212","C10",2,"RR3vs2",0.720557383147931,2936,0.000209314912860548
"213","C23",2,"RR1vs2",1.35771394444351,797,5.68201585660274e-05
"214","C23",2,"RR3vs2",0.820062078265776,797,5.68201585660274e-05
"215","C26",2,"RR1vs2",1.4725271710472,584,4.16348464273024e-05
"216","C26",2,"RR3vs2",1.0785252701997,584,4.16348464273024e-05
"217","C32",2,"RR1vs2",1.60513273254616,2332,0.000166254215528201
"218","C32",2,"RR3vs2",0.603015292996556,2332,0.000166254215528201
"219","C51",2,"RR1vs2",1.15998588809072,1126,8.02754059540112e-05
"220","C51",2,"RR3vs2",0.670017774527849,1126,8.02754059540112e-05
"221","C54",2,"RR1vs2",1.13738204589173,7207,0.000513805373632823
"222","C54",2,"RR3vs2",1.00473156845615,7207,0.000513805373632823
"223","C72",2,"RR1vs2",1.79187233018143,161,1.14780997856091e-05
"224","C72",2,"RR3vs2",1.26747336757193,161,1.14780997856091e-05
"225","C73",2,"RR1vs2",0.975554550308616,3268,0.000232984037884288
"226","C73",2,"RR3vs2",1.07884566839536,3268,0.000232984037884288
"227","C80",2,"RR1vs2",1.05074576497314,7845,0.000559290017503746
"228","C80",2,"RR3vs2",0.813797339537661,7845,0.000559290017503746
"229","C90",2,"RR1vs2",0.944984822108416,4888,0.000348477961192901
"230","C90",2,"RR3vs2",1.0647723478956,4888,0.000348477961192901
"231","D00",2,"RR1vs2",1.24555980371037,128,9.12544579228546e-06
"232","D00",2,"RR3vs2",0.748540993811674,128,9.12544579228546e-06
"233","D02",2,"RR1vs2",0.908510821579041,197,1.40446314146893e-05
"234","D02",2,"RR3vs2",0.57073268020777,197,1.40446314146893e-05
"235","D05",2,"RR1vs2",0.786891778551481,5310,0.000378563415289342
"236","D05",2,"RR3vs2",1.10629440865176,5310,0.000378563415289342
"237","D14",2,"RR1vs2",1.20387357574944,9327,0.000664945569567551
"238","D14",2,"RR3vs2",0.875714276056727,9327,0.000664945569567551
"239","D28",2,"RR1vs2",1.19825282638723,1806,0.000128754336725528
"240","D28",2,"RR3vs2",0.92326138296859,1806,0.000128754336725528
"241","D31",2,"RR1vs2",0.979159960595901,3710,0.000264495342885774
"242","D31",2,"RR3vs2",1.13889983583198,3710,0.000264495342885774
"243","D33",2,"RR1vs2",0.959305268107014,4609,0.000328587341067529
"244","D33",2,"RR3vs2",1.09042077987236,4609,0.000328587341067529
"245","D44",2,"RR1vs2",1.28650860155519,1766,0.000125902634915438
"246","D44",2,"RR3vs2",0.841569514758154,1766,0.000125902634915438
"247","D46",2,"RR1vs2",1.06322850777985,3526,0.000251377514559364
"248","D46",2,"RR3vs2",0.873340900152341,3526,0.000251377514559364
"249","D59",3,"RR1vs2",1.30837908509192,1863,0.000132818011804905
"250","D59",3,"RR3vs2",1.03760700116564,1863,0.000132818011804905
"251","D65",3,"RR1vs2",2.63619269099009,725,5.16870953078669e-05
"252","D65",3,"RR3vs2",0.873256229295995,725,5.16870953078669e-05
"253","D68",3,"RR1vs2",1.05676183078449,9801,0.000698738236017108
"254","D68",3,"RR3vs2",1.01611759655652,9801,0.000698738236017108
"255","E15",4,"RR1vs2",2.01965180503324,809,5.76756691090542e-05
"256","E15",4,"RR3vs2",0.548569042406652,809,5.76756691090542e-05
"257","E21",4,"RR1vs2",1.05360115304015,14272,0.00101748720583983
"258","E21",4,"RR3vs2",1.03415342971201,14272,0.00101748720583983
"259","E58",4,"RR1vs2",1.69208165011365,145,1.03374190615734e-05
"260","E58",4,"RR3vs2",0.835131024586314,145,1.03374190615734e-05
"261","E61",4,"RR1vs2",1.36000231073566,2593,0.000184861569839033
"262","E61",4,"RR3vs2",0.75419190237716,2593,0.000184861569839033
"263","E66",4,"RR1vs2",1.24116809077782,119474,0.00851760555146495
"264","E66",4,"RR3vs2",0.736171556433322,119474,0.00851760555146495
"265","H93",8,"RR1vs2",0.987145017445574,39886,0.00284357445993045
"266","H93",8,"RR3vs2",1.02303098756097,39886,0.00284357445993045
"267","I49",9,"RR1vs2",1.0099710269873,43978,0.00313530355510258
"268","I49",9,"RR3vs2",1.06635410793555,43978,0.00313530355510258
"269","I72",9,"RR1vs2",1.0523568797962,6797,0.000484575430079409
"270","I72",9,"RR3vs2",0.920907255721696,6797,0.000484575430079409
"271","I73",9,"RR1vs2",1.31583386122579,41865,0.00298466240698462
"272","I73",9,"RR3vs2",0.608565581939068,41865,0.00298466240698462
"273","I84",9,"RR1vs2",1.09496402885068,7165,0.000510811086732229
"274","I84",9,"RR3vs2",0.77894271652435,7165,0.000510811086732229
"275","J44",10,"RR1vs2",1.77869532620851,99726,0.00710972036782391
"276","J44",10,"RR3vs2",0.555995604620076,99726,0.00710972036782391
"277","K70",11,"RR1vs2",1.63670942977623,13095,0.000933575880077954
"278","K70",11,"RR3vs2",0.589233956808029,13095,0.000933575880077954
"279","K91",11,"RR1vs2",1.21721822403776,6619,0.000471885357024512
"280","K91",11,"RR3vs2",0.774934609284013,6619,0.000471885357024512
"281","L11",12,"RR1vs2",0.583603870322938,545,3.88544371624654e-05
"282","L11",12,"RR3vs2",1.35877908344946,545,3.88544371624654e-05
"283","L12",12,"RR1vs2",1.04356310823894,1532,0.000109220179326417
"284","L12",12,"RR3vs2",0.950649426300524,1532,0.000109220179326417
"285","L26",12,"RR1vs2",1.07764886634104,160,1.14068072403568e-05
"286","L26",12,"RR3vs2",0.536737375687366,160,1.14068072403568e-05
"287","L27",12,"RR1vs2",0.977190909109531,2022,0.000144153526500009
"288","L27",12,"RR3vs2",0.933842525151848,2022,0.000144153526500009
"289","L29",12,"RR1vs2",1.06286210720163,7809,0.000556723485874665
"290","L29",12,"RR3vs2",0.986763127546311,7809,0.000556723485874665
"291","L44",12,"RR1vs2",0.86414534389826,226,1.6112115227004e-05
"292","L44",12,"RR3vs2",1.23045474262551,226,1.6112115227004e-05
"293","L57",12,"RR1vs2",0.667834327112603,18008,0.00128383615490216
"294","L57",12,"RR3vs2",1.30117541597344,18008,0.00128383615490216
"295","L85",12,"RR1vs2",1.06319937070943,1841,0.000131249575809356
